Wall time,Step,Value
1727449359.6545782,1675,0.9000000357627869
1727449361.487082,1682,0.9000000357627869
1727449363.77391,1691,1.0
1727449364.8306708,1695,1.0
1727449365.33488,1697,1.0
1727449365.8551211,1699,1.0
1727449366.6697767,1702,1.0
1727449368.5133018,1709,1.0
1727449370.9197137,1718,1.0
1727449373.5352964,1728,1.0
1727449374.5753193,1732,1.0
1727449375.0875092,1734,1.0
1727449375.885457,1737,1.0
1727449377.2092695,1742,1.0
1727449378.0327241,1745,1.0
1727449378.317312,1746,1.0
1727449383.5654256,1766,1.0
1727449385.8755612,1775,1.0
1727449387.4253557,1781,1.0
1727449389.228757,1788,1.0
1727449389.485327,1789,1.0
1727449391.8853889,1798,1.0
1727449393.80568,1805,1.0
1727449399.2160091,1826,1.0
1727449400.2359655,1830,1.0
1727449402.807338,1840,1.0
1727449403.81612,1844,1.0
1727449406.2062256,1853,1.0
1727449409.5859692,1866,1.0
1727449410.3602424,1869,1.0
1727449411.9361706,1875,1.0
1727449412.5363955,1877,1.0
1727449421.427561,1911,1.0
1727449422.9367201,1917,1.0
1727449427.8258963,1934,1.0
1727449430.6471226,1944,1.0
1727449431.5171142,1947,1.0
1727449432.0830424,1949,1.0
1727449437.0360174,1967,1.0
1727449440.7432258,1981,1.0
1727449441.2472618,1983,1.0
1727449446.0176516,2001,1.0
1727449447.109945,2005,1.0
1727449449.0985975,2013,1.0
1727449453.4690304,2030,1.0
1727449455.1150126,2036,1.0
1727449461.4731905,2060,1.0
1727449464.8984947,2073,1.0
1727449465.698563,2076,1.0
1727449465.9732945,2077,1.0
1727449466.4582417,2079,1.0
1727449466.9593825,2081,1.0
1727449467.9886475,2085,1.0
1727449469.0186305,2089,1.0
1727449470.8784876,2096,1.0
1727449474.8987596,2111,1.0
1727449483.7590556,2145,1.0
1727449484.768798,2149,1.0
1727449486.6490438,2156,1.0
1727449489.0596406,2165,1.0
1727449492.2333791,2177,1.0
1727449494.7594583,2187,1.0
1727449495.2794445,2189,1.0
1727449495.8192708,2191,1.0
1727449497.089626,2196,1.0
1727449497.8703542,2199,1.0
1727449499.8193612,2207,1.0
1727449500.8106759,2211,1.0
1727449506.1296957,2231,1.0
1727449507.4495583,2236,1.0
1727449507.6947463,2237,1.0
1727449508.2098715,2239,1.0
1727449508.940054,2242,1.0
1727449509.950776,2246,1.0
1727449510.1900487,2247,1.0
